"id","institution","product","institution_sort","product_sort","schoolexpense_sort","univ_sort","grade_sort","major_sort","grade_stand_detail","income_stand_detail","support_detail","qualification_detail","local_residence_detail","duration_detail","selection_way_detail","selection_num_detail","qualification_restriction_detail","recommendation_detail","documentaion_detail","created_dt","modified_dt","like_num","scrap_num"
"목포가톨릭대학교_목포한사랑병원산학협력장학금","목포가톨릭대학교","목포한사랑병원산학협력장학금","대학교","장학금","기타","4년제(5~6년제포함)/특정대학","대학7학기/대학8학기이상","특정학과","해당없음","해당없음","1학기 400만원(연간600만원) 복무조건으로 등록금과는 무관관","2022년 간호학과 졸업예정자로 성적이 우수하고 품행이 단정한 자 지도교수의 추천을 받은 자졸업 후 본원에서 1년~2년 이상 또는 장기 근무 가능한 자","해당없음",NULL,"해당없음","00명명","해당없음","지도교수님께 희망의사 표시시",NULL,"2022-11-06 17:00:50.334349","2022-11-06 17:00:50.334349",0,0
"한국장학재단_인문100년장학금","한국장학재단","인문100년장학금","한국장학재단","장학금","성적우수","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학신입생","교육계열/사회계열/인문계열","* 계속장학생(전공확립유형)백분위 87점 이상 또는 평점 350/45만점(330이상/43만점) 최소이수학점 기준 : 직전학기 12학점 이상 * 장학생 중간 평가(2+2) 대상자계절학기 및 재수강 취득 성적을 포함하여 직전 2년간(1〜2학년) 4개 학기(5년제는 5개학기) 성적이 백분위 87점 이상 또는 평점 35이상/45만점(33이상/43만점) 성적기준 충족시 나머지 2년간 계속 지원  ※ 자세한 사항은 한국장학 홈페이지 참고","해당없음","등록금 : 장학생 선정 후 매학기별 등록금 전액 지원 (입학금 수업료 기성회비)생활비 : 선발된 장학생은 계속지원 충족 및 대학의 학생 자체평가 후 학기당 2000000원 지원 기초생활수급자 : 계속지원 기준을 충족하는 기초생활수급자는 학기당 2000000원 추가지원","* 대한민국 국적소지자로서 국내 4년제 대학의 인문사회계열 학과(부)에 재학중인 1학년 신입생 또는 3학년전공탐색 : 1학년 신입생전공확립 : 3학년 재학생","해당없음",NULL,"대학별 배정인원 범위 내에서 선발기준에 따라 대학별 자체 선발","※ 학교마다 선발하는 인원이 상이하므로 장학부서에 확인 필수","인문100년 장학금 장학생 자격 유지자 또는 기존 인문 100년장학생으로 선발된 후 영구탈락 된 학생한국장학재단에서 운영중인 타 장학금 기수혜자 또는 장학생 자격 유지자계약학과(등록금전액/일부지원) 선발제외 ※ 자세한 사항 첨부파일 참고","해당없음",NULL,"2022-11-06 17:00:50.366737","2022-11-06 17:00:50.366737",0,0
"국립국제교육원_GKS외국인우수자비장학생","국립국제교육원","GKS외국인우수자비장학생","관계부처","장학금","기타","4년제(5~6년제포함)/전문대(2~3년제)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","국내 대학 재학 전체 기간 동안 100점 만점에 평균 80점 이상직전 학기 학점이 100점 만점에 평균 80점 이상한국어 능력시험(TOLIK)4급 이상","해당없음","500만원(월 50만원) * 수혜기간 20223~202212 (10개월)","2022년 3월 기준 국내 대학(전문대학 포함) 학부 과정에 재학중이고/ 2학기 이상을 이수한 외국인 자비유학생2학기 이상 이수과정이 남아 있는 자 대학에서 외국인 유학생으로 관리하고 있는 외국 국적 소유자","해당없음",NULL,"해당없음","250명 대학별 추천인원 : 20명 이하 추천 가능","휴학 중이거나 휴학 예정인 자/ 초과학기 포함 2학기 이수 잔여자교환학생이나 해외파견 예정자조기 졸업 예정자 ㅇ","해당없음",NULL,"2022-11-06 17:00:50.373614","2022-11-06 17:00:50.373614",0,0
"국립국제교육원_국비유학생","국립국제교육원","국비유학생","관계부처","장학금","기타","제한없음","대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","일반/ 꿈나래 전형은 평균성적이 만점의 80% 이상인 사람* 자세한 사항은 첨부파일 참조","꿈나래 전형의 경우 수급권자・차상위계층・한부모지원대상자","국가별 차이있음 첨부자료 확인 (1년 단위로 장학금 지급)","한국사능력검정시험 3급(또는 4급) 이상인 사람외국어 시험 성적(첨부파일 참고)을 충족하는 사람국내대학 졸업자/ 2021년 8월말 졸업예정자 또는 이와 같은 수준 이상의 학력이 있는 자※ 자세한 사항은 첨부파일 참조","해당없음",NULL,"1차 서류심사2차 면접시험","일반전형 : 40명꿈나래전형 : 20명기술기능인 전형 : 4명","원격대학 및 기술대학의 경우 전문학사학위를 받았거나 받을 예정인 사람은 제외남자는 군필 또는 면제자이중국적자의 경우 국비유학 전까지 외국국적을 포기해야 함자격취득과정은 지원불가","해당없음",NULL,"2022-11-06 17:00:50.379835","2022-11-06 17:00:50.379835",0,0
"광주남구장학회_행복나눔 장학생","광주남구장학회","행복나눔 장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 12학점 이상 취득하고/ 성적 평균 275 이상인 자 (43만점은 26이상)","2022년도 기준 중위소득 100% 이하인 가구 * 직계가족의 3개월 평균국민건강보험료 산정","1인당 1000000원 * 생활비 지원","공고일 현재 신청 학생 또는 학생의 부모가 광주광역시 남구에 주민등록상 1년 이상 주소를 두고 이고 유형별 자격과 요건을 충족하는 자","보호자 또는 본인이 선발 공고일 현재 주민등록상 주소지가 광주광역시 남구로 1년 이상 두고 신청 요건을 갖춘 자",NULL,"서류심사 (사무국) : 제출서류 신청요건 충족 및 직전학기 성적 등 확인심사의결 (장학생 선발 심사위원회)최종선정자 발표선발결과 : 개별 안내 및 홈페이지 게시","10명","원격대학2년 미만 교육과정의 각족 학교평생교육법에 의거 설립한 학교최근 2년 남구장학회 장학생으로 선발된 자 * 자세한 사항 공문 참조","해당없음",NULL,"2022-11-06 17:00:50.392445","2022-11-06 17:00:50.392445",0,0
"농파장학회_장학금","농파장학회","장학금","민간(기타)","장학금","지역연고","4년제(5~6년제포함)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","학업성적이 우수한 자","가정형편이 곤란한 자","4년간 등록금 전액 지급","4년제 국내 국공립 대학합격자","본적이 경남출신인 자",NULL,"해당없음","0명","1 형제 중 본 장학회에 입회된 자 또는 타 장학회 수혜자2 휴학2회 이상자/ 성적불량자/ 장학생으로 품위가 없는 자3 불순단체 가입자4 중간에 대학 또는 과 바꾼 자","출신 고등학교장",NULL,"2022-11-06 17:00:50.396931","2022-11-06 17:00:50.396931",0,0
"재단법인 조준장학재단_장학생","재단법인 조준장학재단","장학생","민간(기타)","장학금","기타","특정대학","대학4학기/대학5학기","특정학과","전체학기 평점평균 38/43 이상","5구간 이내의 가정형편이 어려운 남학생","등록금 전액(결격사유 없을시 1년간 지급)","군 제대 후 복학한 남학생/ 지방출신자 우선선발윤리 관련 강의 1학점 이상 이수자","해당없음",NULL,"1차 서류전형/ 2차 면접전형","각 학교당 1명","국비장학금을 포함 기타 다른 장학금을 받지 않는자","* 학교 추천 방식으로/ 신청시 각 학교 장학부서에 문의 필수",NULL,"2022-11-06 17:00:50.400444","2022-11-06 17:00:50.400444",0,0
"우리다문화장학재단_학업장학","우리다문화장학재단","학업장학","민간(기업)","장학금","기타","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","2022년 기준 중위소득 100% 이하인 가구","1인당 4000000원(2회 분할지급)","다문화가족 자녀국내 2/3/4년제 대학교 재학생 및 휴학생 (정규학기 12학점 이상)졸업까지 3학기 이상 남은 학생","해당없음",NULL,"해당없음","30명","외국인/ 북한이탈주민 지원불가특기장학과 중복지원 불가능","소속대학 총장장 및 학과장/ 다문화 및 사회 복지기관장/ 지자체 및 주민센터장",NULL,"2022-11-06 17:00:50.404121","2022-11-06 17:00:50.404121",0,0
"우리다문화장학재단_특기장학","우리다문화장학재단","특기장학","민간(기업)","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1인당 5000000원","특기 및 재능보유 다문화가족 자녀(8세~25세)예・체능 및 어학 특기자/ 자격・기술보유자/ 직업・진로 특기자 등최근 3년 이내에 전국 규모 이상의 대회 입상실적 또는 이에 상응하는 특기 및 재능 관련 실적자료 제출이 가능해야함","해당없음",NULL,"해당없음","30명","학업장학과 중복지원 불가외국인/ 새터민 지원 불가","소속학교 총장(지도교수 및 학과장 포함)/ 특기・재능 관련 전문기관장/ 지자체 및 주민센터장/ 다문화 및 사회복지기관장",NULL,"2022-11-06 17:00:50.410596","2022-11-06 17:00:50.410596",0,0
"지헌장학재단_장학생","지헌장학재단","장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)/전문대(2~3년제)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","예체능계열","최근1년 평균성적 B+ 이상/ 35/45/ 33/43/ 31/40 이상)","부모 또는 보호자의 년소득액이 5천만원 이하인자","1000000원 * 생활비(학자금 및 디자인 재료비)로 타 장학금과 이중수혜 가능","학업의지가 높고/ 학문적 자질이 우수한 인재4년제 대학교 3~4학년 재학생시각디자인 전공자 및 판화 전공자","해당없음",NULL,"1차 서류전형2차 면접전형 (필요시)","44명 내외","기업체 학술연수 및 입사 조건부 장학금을 받는 자장학금을 수령한 학기에는 휴학을 할 수 없으며/ 휴학의 경우 장학금을 반환해야 함","학과장 추천   (1개교 2명 이내/ 단 2명 추천시 남・녀 각 1명)",NULL,"2022-11-06 17:00:50.414248","2022-11-06 17:00:50.414248",0,0
